,Has Twitter,Number of tweets in total,Twitter Handle,Twitter followers,Twitter following
1100378,0,,,,
1045623,0,,,,
1108946,0,,,,
1108080,0,,,,
1107013,1,1733,northbankforum,720,159
1029506,1,7814,GreenwichDance,11489,3937
1077882,0,,,,
268639,1,86,AmicusTrust,351,992
1109284,0,,,,
1097820,0,,,,
1052086,0,,,,
1103139,0,,,,
1108162,1,37,MossesCentre,151,52
1098364,1,16460,liveshq,8390,1921
1112545,1,472,WEtimebank,56,45
1094744,0,,,,
1113182,1,447,Daybreak_Oxford,195,447
1095562,1,3871,SharedLivesPlus,2016,1058
1097945,0,,,,
1080457,0,,,,
1100375,0,,,,
1015045,0,,,,
1089164,0,,,,
1062149,1,1679,harrowcarers,1576,903
1089778,0,,,,
1104877,0,,,,
1086809,0,,,,
1107069,0,,,,
1057923,1,5286,devoncf,4915,3233
1090567,1,1957,grandunionmk,251,45
1090747,0,,,,
1010883,1,3611,LudlowRooms,2891,1915
1093218,0,,,,
1044279,1,3996,Aberglasney,4477,3371
1069356,1,4436,lincolnshirecvs,2286,1298
1124150,0,,,,
1107723,0,,,,
1086163,1,3820,eastbournecab,1530,668
1108100,0,,,,
1010192,1,14562,HalfMoonTheatre,6877,1759
1108939,1,0,rsfionline,35,3
1055640,0,,,,
1109053,0,,,,
1090229,1,71,TurntableExeter,133,157
1052036,0,,,,
1125544,0,,,,
1084083,1,4787,VONNENews,4069,1214
1091767,1,133,acewigan_leigh,296,38
1085867,1,4748,mertonconnected,2175,955
1058285,0,,,,
1090556,0,,,,
1111765,0,,,,
1053633,1,10813,dedaderby,8445,2688
1069373,0,,,,
260015,0,,,,
1112095,0,,,,
1113443,0,,,,
1077055,0,,,,
1069777,0,,,,
1070606,1,10668,whywomen,20581,648
1084940,0,,,,
1055305,0,,,,
1061554,0,,,,
1105954,0,,,,
1056420,0,,,,
1124419,0,,,,
1091804,0,,,,
1057266,0,,,,
1092250,0,,,,
1081252,0,,,,
1078984,1,1807,LifetimesNews,1012,2055
1098801,0,,,,
1091423,1,962,CVSBeds,546,169
1100162,0,,,,
1100526,1,2532,recreateplay,891,1394
1070741,1,713,NorthantsDAS,379,140
1099194,0,,,,
1053223,1,10801,Relate_charity,12077,8190
1101410,0,,,,
262785,0,,,,
1086014,1,1229,mackeithpress,415,747
1092527,0,,,,
1125002,1,5243,BPECfairplanet,1466,838
1103020,0,,,,
1064404,0,,,,
271323,0,,,,
1123234,1,205,localleadership,477,472
1123562,0,,,,
1004608,0,,,,
1085821,1,199,BYDP1,517,162
1093140,0,,,,
1126061,0,,,,
1103333,0,,,,
1123971,1,449,CutHalesworth,1207,295
1010786,1,8573,siobhandavies,12084,1964
280545,0,,,,
1100890,1,3172,macearchive,2574,1359
281797,1,6627,YoungGlos,4009,1662
1117369,0,,,,
1123959,0,,,,
1129966,0,,,,
1060603,0,,,,
284589,0,,,,
1124091,0,,,,
1009867,0,,,,
1128679,0,,,,
297630,0,,,,
1127931,0,,,,
295346,0,,,,
1045617,1,7065,afasic,7865,5662
291360,0,,,,
1086151,0,,,,
290218,1,5612,wearekneehigh,42436,3861
1045334,0,,,,
1113229,0,,,,
1048549,0,,,,
291245,0,,,,
1112600,0,,,,
282102,1,21093,CarersTrust,37276,2090
1128867,0,,,,
1093732,0,,,,
1084804,0,,,,
1091311,0,,,,
1064495,1,512,sthaven,632,311
1092359,0,,,,
1087692,0,,,,
1039921,0,,,,
1049632,0,,,,
1118361,1,18180,teensunite,4310,1893
256391,0,,,,
1085602,1,2288,bathcitychurch,975,356
1120022,0,,,,
256618,1,5539,WorcsWT,2832,1238
1069406,1,752,AgeUKWandsworth,1763,1734
1122777,0,,,,
1099495,0,,,,
1096253,1,2488,YoungCumbria,2358,857
1035730,1,4102,cpslmind,2723,942
1089527,1,931,ASGMAManchester,660,222
1084792,1,156,RomneyResource,199,301
1045701,0,,,,
1117576,0,,,,
1089634,1,0,trelyauk,5,5
253606,0,,,,
1130041,0,,,,
1113065,0,,,,
261476,0,,,,
1017321,1,847,historicchapels,1083,160
258390,1,2295,EmploymtStudies,3408,1515
1011442,0,,,,
267021,0,,,,
1114195,1,13132,GeneticAll_UK,10823,1498
1120707,0,,,,
1103790,0,,,,
1068298,0,,,,
1093936,0,,,,
1111476,0,,,,
1046047,1,6445,ChangeFdn,2292,1523
1106631,1,574,CASouthWarks,569,410
298807,1,2706,Bible_Alive,395,471
1023945,0,,,,
273615,0,,,,
1109239,0,,,,
1128374,0,,,,
1119797,0,,,,
1074832,0,,,,
267516,1,4667,thecasecentre,1815,1127
1017367,0,,,,
1015787,1,9749,REDRESSTrust,6191,396
1104216,0,,,,
1127644,1,3460,yorkcarers,2119,597
1050197,0,,,,
287848,0,,,,
1050398,0,,,,
293377,0,,,,
277570,1,6139,thrivecharity,6165,1441
1084795,0,,,,
1052035,0,,,,
1041335,1,11353,RuralMedia,4418,4075
280422,1,10013,avonwt,12216,1517
1109839,1,7482,wearepreventBC,3487,4093
251051,1,2460,QEF1,1845,1291
1057635,1,5402,bibic_charity,5337,4737
1094446,1,2636,Somerset_CF,2890,2263
269645,1,14430,HullTruck,29760,2904
1059015,1,3919,HADability,1455,1626
1097079,0,,,,
278760,0,,,,
299049,0,,,,
1014834,0,,,,
279354,1,4493,etopera,14863,955
279859,1,4976,Launchpad_RDG,3709,1546
288117,1,1276,commfirstwilts,1600,412
1077566,1,2921,TelfordCAB,1723,1598
289466,1,7579,StLukesHospiceB,2163,593
298627,0,,,,
254402,1,8458,StLukes_Sheff,6437,749
293188,0,,,,
287287,1,4308,cepr_org,14405,8
1074032,1,3767,cambsacre,2480,2182
1050157,0,,,,
268876,1,9782,youngvictheatre,140474,2159
294494,1,5246,fcfcg,3733,2005
293141,1,6859,groundworkeast,2272,1355
270194,1,5905,willenhospice,5605,1160
1085553,0,,,,
295790,0,,,,
299731,1,4773,RowansHospice,2656,598
291955,1,24613,citizensadvice,82254,3938
297126,0,,,,
299686,1,7167,leyfonline,4523,976
1077442,0,,,,
295257,1,6886,ghhospice,1654,535
251888,0,,,,
283895,1,7374,wildlondon,17631,1028
281820,1,36,plymouthageuk,16,8
292101,1,10566,DockyardChatham,8519,1424
276172,1,3081,rose_road,1716,1556
282197,0,,,,
285891,1,3979,venturetrust,1938,1702
291714,0,,,,
1086516,1,866,bedlutcf,849,448
288158,0,,,,
285214,1,5537,PACTCHARITY,3573,2029
1102254,1,2660,PFenglandwales,3289,1887
1111646,0,,,,
1103968,1,2174,CastlePointAVS,607,294
278518,0,,,,
287786,1,5262,wessexarch,19510,1608
1107883,0,,,,
296572,0,,,,
1086485,0,,,,
1090010,1,1717,Flintshirecab,1535,786
282857,1,15746,battersea_arts,67095,964
284912,1,18848,contactfamilies,30182,7126
267965,1,4336,HeadlongTheatre,41004,655
286360,0,,,,
1061641,0,,,,
1080986,0,,,,
1090616,0,,,,
1098229,0,,,,
299450,1,609,wildscreen_org,1071,250
1084874,0,,,,
283686,0,,,,
291834,0,,,,
288141,1,2582,HampshireAutism,2533,1854
286909,1,1024,childhoodfirst,447,183
1068642,0,,,,
287232,1,346,sacredheartsjm,58,129
278387,0,,,,
280919,1,10588,StHelenaHospice,5186,1565
1101659,0,,,,
249892,0,,,,
1094369,1,2672,dd_cab,1032,606
259140,1,10738,northernballet,29255,1599
255685,0,,,,
269167,0,,,,
249403,0,,,,
327354,0,,,,
326901,1,12001,FarmAfrica,36268,7961
258085,0,,,,
279756,1,12600,dartington,8943,3465
294582,1,10445,WinSciCentre,6311,1269
292058,1,4294,MildmayUKHosp,1386,1616
1050146,1,8676,ThePonyClub,27372,891
224469,1,2648,PSSpeople,2459,1051
292824,0,,,,
1010930,0,,,,
1090535,1,3380,AgeUKBeds,1402,971
327553,1,10439,intalert,14693,4020
255913,0,,,,
1007878,1,3548,autism_together,2664,566
297370,1,7396,EDPDrugAlcohol,1838,1148
1105832,0,,,,
1031031,1,602,TouchaBillion,3503,5290
1061012,1,16992,brb,30073,631
227931,0,,,,
272465,1,4875,United_Purpose,3119,3716
1042125,1,19606,BirdLife_News,68644,4161
511726,1,17504,opera_north,36471,3090
1047742,0,,,,
1066806,1,6249,mscecolabel,13004,2600
1117794,0,,,,
1126980,1,31396,TheKingsFund,125875,11587
211645,0,,,,
234025,1,7085,ShrewsRCnews,2719,733
1068617,0,,,,
700370,0,,,,
293072,0,,,,
515755,1,9681,Humankind_UK,3214,2555
1030884,1,8965,wwtworldwide,33329,845
1125841,1,827,cceinsights,2280,326
1059247,0,,,,
1045587,1,392,secmedia,535,49
1102927,1,4317,phf_uk,15827,942
1056644,0,,,,
207812,1,19118,turn2us_org,14206,3088
1020101,1,2581,BDBofE,716,804
1011290,1,4326,FitzRoyUk,1981,1603
222377,1,48635,mencap_charity,207120,28255
1049751,1,8202,TheChristieNHS,10796,1308
1016532,1,14842,NDCS_UK,16056,598
224392,0,,,,
1086915,1,27322,YouthSportTrust,54881,2009
1102949,0,,,,
219830,0,,,,
250058,0,,,,
1107328,0,,,,
1001813,1,6258,theHALOTrust,6487,1581
1015243,1,1264,lifearc1,4514,536
295224,0,,,,
299509,0,,,,
1092236,0,,,,
222930,1,4889,wearenugent,2020,1365
232709,1,1098,lpoolcatholic,3001,562
257210,1,13698,E_N_O,118099,3017
1112540,0,,,,
298149,1,4151,Choice_Support,2788,2375
1125556,1,6300,ComingHomeOrg,7839,2900
1049551,0,,,,
1031590,1,933,OfficialBYMT,826,178
1040713,0,,,,
516835,0,,,,
1049077,1,20634,TBIF,24592,6241
528981,1,5302,bhambotanicalgd,3617,289
1053806,0,,,,
313329,0,,,,
1070891,1,6,BernhardBaronCH,24,21
327279,0,,,,
1083995,1,1902,MethodistHomes,1422,183
1075389,1,238,Luminus_Group,164,240
326227,1,8069,ndcwales,4360,1781
328154,1,418,ECTARCwales,296,829
512719,0,,,,
501935,1,14528,TheDukesTheatre,10762,2079
1093672,0,,,,
305999,1,8395,TheEFDSS,8595,2525
327880,0,,,,
1102396,1,2912,hotrlondon,6289,110
507573,0,,,,
1070468,1,9848,Discover_Story,6424,3254
1120447,0,,,,
514418,1,1191,broomgrovesheff,211,199
1066776,1,2605,improvinglivesp,1491,3144
1077889,1,4420,PumpAid,4793,3599
1011435,1,647,BWWMind,1317,770
1128533,0,,,,
1062514,1,3566,FamilyLinksUK,2847,1188
701834,0,,,,
1123224,0,,,,
702269,0,,,,
1045362,1,36,JameaAlKauthar,100,0
1073437,0,,,,
1052330,0,,,,
700314,0,,,,
1045920,0,,,,
1081658,1,4240,JubileeSailing,4352,1870
1000649,0,,,,
1075525,1,4969,breadlineafrica,2463,1959
1003366,0,,,,
1000830,1,1976,StonepillowChi,1945,1731
1093494,0,,,,
1088236,0,,,,
1079831,0,,,,
1088631,0,,,,
1108837,0,,,,
1002032,0,,,,
1112291,0,,,,
1001635,1,11036,NAVCA,13500,1342
1070112,1,1757,@idealforall,768,656
1057024,1,458,CarersTrustHofE,694,419
1004490,0,,,,
1079214,1,2611,LeewayDV,1669,1535
1085951,0,,,,
1086178,0,,,,
1006927,1,1451,MindITHN,958,1293
1092621,0,,,,
1089251,1,1922,BCHAnews,1730,923
1026148,0,,,,
515591,0,,,,
1041963,0,,,,
1012131,0,,,,
1089130,0,,,,
1043921,1,3571,stpaulshostel,1206,376
1024617,0,,,,
1072052,0,,,,
1091293,0,,,,
1090904,0,,,,
1045395,1,18606,GreenAllianceUK,27299,1467
303199,1,955,bedehouse,892,547
1077913,0,,,,
1090623,0,,,,
1094112,0,,,,
1084805,0,,,,
1062333,0,,,,
1121992,0,,,,
1065846,0,,,,
1116714,1,1358,CarersSurrey,1964,857
1048075,1,1421,asiststaffs,403,364
1103179,0,,,,
1006024,1,70,avondaleMHC,26,59
1103022,1,418,ageukwb,406,244
1004375,0,,,,
1065829,1,7101,camdenartsctr,39762,2234
1054061,1,893,ealingmencap,889,620
1126806,0,,,,
1061538,0,,,,
1116941,1,25191,intofilm_edu,23237,3176
1049663,1,8797,VASTstaffs,2632,783
1113151,1,164,kingfisherlc,274,75
1112203,1,3138,cclnewma,292,210
1077234,0,,,,
305969,1,3763,theboysbrigade,3917,689
1118525,1,5837,intouniversity,6540,2439
1047268,1,4351,PLANED_Pembs,1069,1484
1130384,0,,,,
1044373,0,,,,
1067888,1,2225,PioneeringCare,1626,2483
1002224,1,1075,ARA_Bristol,751,397
1067869,1,10278,CourtyardArts,8839,2050
1086323,1,880,AUKWS,1063,361
1061898,1,60399,bm_ag,47588,6850
515150,0,,,,
1064450,0,,,,
1092892,1,29141,HolocaustUK,22601,2863
1077561,0,,,,
1097333,1,734,HLCTrainingNews,600,1162
1081116,1,3049,SolentMind,2784,311
1039302,0,,,,
1094012,1,1325,WAISNottingham,1097,517
1061241,1,2013,avenuesgroup,1130,583
1078275,1,19266,NDNAtalk,11006,1019
1100869,0,,,,
1059029,1,7322,RichardHouseCH,3514,202
1082777,1,4783,shinetrustuk,2861,1842
1100143,1,9331,P3Charity,3977,2781
1086957,1,11,Growing_Places_,8,7
1069256,0,,,,
1121665,1,6424,bbcmediaaction,65735,1679
1076681,1,6759,BPLMetrodome,3685,1320
1097608,1,216,CloverleafAdvoc,543,323
1053142,0,,,,
1050808,1,2264,Seftoncarers,1021,298
1040860,1,6826,signpostsso,1423,1251
1105015,1,2321,anccardiff,725,125
1079968,0,,,,
1078968,0,,,,
1103997,1,10577,Thames21,8071,3080
1074619,1,14911,theforumnorwich,39888,1229
1099878,0,,,,
1063226,0,,,,
1061812,1,2125,hospitalcharity,880,1000
1072393,0,,,,
800735,1,11215,Catch22,23692,1807
1107705,0,,,,
1069557,1,5602,PTHBhealth,5188,432
1098728,0,,,,
1046097,1,882,v21cyflecymru,837,528
1050537,1,1392,royalmarsdenNHS,4029,553
1103314,0,,,,
1106453,1,2925,hullandercab,1232,811
1072453,1,2858,intaward,3407,884
1103747,0,,,,
1038372,0,,,,
1088051,1,1778,nepacsinfo,816,678
1064007,1,802,WirralMind,735,103
1111438,1,12269,fightforsightUK,10356,2138
502421,1,2050,TheCyrenians,1462,824
1102770,0,,,,
1049954,1,15111,wethecurious_,31717,1983
313024,1,6873,MuseumsAssoc,51484,2229
1122823,1,27462,globalgiving,105287,21402
516612,1,3674,lcvsuw,2061,762
1101976,1,5033,MindHEY,4676,1553
1081688,1,4528,pickereurope,2396,781
313612,1,7220,wattsgallery,6412,1632
313615,1,6569,crichtramway,6813,1565
1013242,0,,,,
328185,1,249,clguild,297,1064
801122,1,511,OrchardTrust,342,194
518610,1,1213,acbirmingham1,864,621
1006811,1,8264,groundworkuk,19100,2600
516872,0,,,,
1060005,0,,,,
517356,1,394,bridge_proj,290,176
1048170,1,21724,NNUH,13218,3438
1045039,0,,,,
517738,1,4899,stmaryshospice,3108,1851
1055056,1,1702,helpandcare,709,649
1045921,1,9180,CochraneCollab,71838,121
702871,1,4975,LindseyLodge,1777,793
1093702,1,3928,WildwoodTrust,2902,355
1103190,1,1010,mcchcharity,841,229
1068643,1,1100,HealthforAllLds,3082,727
1002700,0,,,,
1108712,1,20166,opennorwich,13129,1583
1001653,1,3234,cotswoldarch,3498,1821
1020192,1,3910,GraceEyreF,1697,1712
1124717,0,,,,
1004132,0,,,,
1053184,1,1404,BIDServices,1442,666
1017814,1,5313,PhoenixFutures1,4196,2523
1013037,0,,,,
1016968,0,,,,
1090445,1,7879,AgeUK_STW,2464,479
1070906,1,18055,BornFreeFDN,103635,617
1064823,0,,,,
1099530,0,,,,
1022680,0,,,,
1064635,0,,,,
1086183,1,1254,HalifaxOppTrust,1258,1161
1084839,0,,,,
1079752,1,7221,RedRUK,6332,2381
800760,0,,,,
1085955,0,,,,
1004005,1,23771,mcsuk,39274,3484
1090923,1,8710,BishopsgateInst,8508,2865
1116260,1,22112,Literacy_Trust,66250,2264
1021586,1,52663,Brathay,5727,1593
1090151,1,2059,JospiceUK,1328,608
1122049,1,1997,ageukwc2,851,1233
1093387,1,8708,firefighters999,13250,540
1124219,1,6146,themytrust,1949,381
1128718,0,,,,
1023730,1,1174,DABDuk,1403,1358
1125487,0,,,,
1128141,0,,,,
1043019,1,1997,tmi_uk,3938,319
1124609,1,17337,soundandmusic,37588,13783
1112657,1,3380,TwitterDev,503804,1477
700985,1,16304,squarechapel,9891,6874
1128354,1,24404,braintumourorg,19866,19213
1086789,1,16923,BACKendal,8637,4205
303167,1,1244,WimbledonCommon,4306,81
700938,1,3,BartsCourt,17,36
1079969,0,,,,
1043601,1,911,circlesnetwork,1490,1404
306083,1,9291,NIESRorg,9641,2163
1118364,1,19358,ShermanTheatre,23523,4973
1086897,0,,,,
301328,1,2230,HLeisurezone,2332,1608
1036460,0,,,,
1087994,0,,,,
311871,0,,,,
1084361,1,2234,SKCfair,595,586
1113255,1,30375,vinspired,47381,14786
314176,1,6521,the_bsr,5761,1739
1024546,1,13152,SeftonCVS,4393,1917
1022754,1,26148,Grand_Theatre,24774,4388
511179,1,24640,StMichaelsHosp,6376,2906
514726,1,3688,GroundworkBBOR,2570,1526
512875,1,4643,TeessideHospice,5867,2742
1007487,1,67526,OfficialTfGM,39492,385
515104,1,5492,echospice,3477,2824
700510,1,4290,CFTyneWearNland,3924,709
1092466,0,,,,
518394,0,,,,
1035820,1,1841,stmfellows,363,496
700409,1,9698,cvlifenews,3613,2097
1124704,0,,,,
702800,1,4013,nwgrnd,3337,2249
1076414,0,,,,
1020240,0,,,,
1064023,1,7632,PlasyBrenin,15495,1484
1051649,1,692,CarersTrustEM,775,711
1061568,0,,,,
1074541,1,30967,canalrivertrust,58033,2500
803280,1,3285,livabilityuk,4723,1368
1066850,0,,,,
1059607,1,12928,scienceatlife,10451,1681
1035089,1,7550,KeechHospice,6605,1867
313164,0,,,,
1123975,0,,,,
1031595,0,,,,
702559,1,1844,ADSolutionsUK,976,1054
514727,1,4986,GroundworkCLM,2318,1301
1124508,1,3701,GroundworkMSSTT,2865,3154
1047912,1,15158,tyhafan,14203,2753
1130445,1,2013,avenuesgroup,1130,583
803442,0,,,,
503456,0,,,,
1075641,0,,,,
1057181,0,,,,
326691,0,,,,
1076958,0,,,,
513063,0,,,,
1103356,0,,,,
700356,0,,,,
1084054,0,,,,
1000889,1,5855,gofal_,7579,1224
800630,1,17860,DesignMuseum,4372117,2393
1113644,0,,,,
1076630,1,4232,voiceability,10019,3162
1121561,1,8031,ellenorcharity,3169,1475
519650,0,,,,
1088699,0,,,,
1123127,1,5035,WestwayTrust,3055,967
313115,1,1091,mandevilleplace,2126,3212
1000414,1,9128,weldmar,5349,4916
1082016,1,37428,NewWolsey,27838,6380
500640,1,7432,changinglives__,5513,1109
1039086,1,5194,MountbattenIW,3134,463
1091529,1,2507,AgeUKOxon,2330,1020
514779,0,,,,
1127049,0,,,,
802725,1,20282,HornimanMuseum,41695,2944
1017658,1,36632,bccare,159994,13889
703163,1,9334,P3Charity,3978,2781
1071737,1,18742,KeepBritainTidy,26616,3222
1045501,1,233,NECCommedia,60,54
801081,1,1845,wspld,1225,1035
1054015,1,27801,tenovuscancer,10085,4331
1015941,1,10268,stgemmashospice,7289,1036
1071613,1,34692,dougiemacstoke,7769,4685
1022119,1,22377,havenshospices,5606,1992
312160,1,10387,SLG_artupdates,68971,6032
703130,1,968,Adref_Info,383,496
1088552,1,7219,chichesterft,20527,2133
519332,1,451,MH_Concern,870,306
1072490,0,,,,
1123122,0,,,,
703002,1,141,driveltd,81,55
501038,0,,,,
1012788,1,509,wcs_care,825,411
311050,1,213,MissB_at_StGs,570,0
306153,0,,,,
506120,1,9638,LOROSHospice,5466,2266
313763,0,,,,
313392,1,848,NFERClassroom,14056,5766
1044693,1,1929,camdensociety,1819,1953
1044658,0,,,,
1095197,0,,,,
325071,1,429,fonthillcharity,402,382
502203,0,,,,
525934,0,,,,
1075032,1,8327,youthmusic,15011,1238
1129187,0,,,,
511619,1,7686,overgatehospice,4730,2518
326508,1,1634,Brendoncare,668,493
1106852,0,,,,
1122720,0,,,,
1038483,1,15,SrsCP,63,85
1087554,0,,,,
1087445,1,20611,sage_gateshead,50333,13690
1007183,1,6677,TheParksTrust,6533,572
1037868,0,,,,
1043985,1,2939,TheHelpCentre,10151,19
294377,0,,,,
1004630,0,,,,
700859,1,16148,AcornsHospice,15992,4535
518713,0,,,,
514829,0,,,,
1001704,0,,,,
1108381,0,,,,
1014576,1,12054,refugeecouncil,51428,2001
517149,1,1019,MirusWales,769,855
803779,0,,,,
1079576,1,2013,avenuesgroup,1130,583
1002727,1,2024,avantesupport,835,729
1001957,1,9940,AddactionUK,15493,3236
800066,1,33818,iied,49051,3508
1105278,1,7444,IhlWigan,6585,798
1130473,1,2013,avenuesgroup,1130,583
1117138,1,4120,AC_Leisure,2409,820
1089625,1,37209,GlblCtzn,345032,1719
1061543,0,,,,
515691,0,,,,
1090412,0,,,,
512907,1,3840,@MakingSpaceUK,3214,660
1074808,1,7434,active_tameside,3682,627
1079675,1,25363,princestrust,150433,3719
291558,1,8264,groundworkuk,19100,2600
801395,0,,,,
289868,1,11991,sensecharity,26406,3575
802038,1,4363,Rothamsted,12199,993
328160,0,,,,
208728,0,,,,
1014697,0,,,,
328158,0,,,,
247257,0,,,,
271028,1,15857,Rethink_,198747,4125
296645,0,,,,
207720,1,22273,actiononhearing,29422,4920
1015988,1,18341,RoyalVolService,12462,3913
1091434,1,14496,nmcnews,73814,654
292182,0,,,,
288701,0,,,,
1115413,0,,,,
1081849,1,5548,movetheworld,123200,1257
1062638,1,14834,decappeal,28298,4512
1005541,1,24601,prostateuk,45760,2207
242575,0,,,,
800058,0,,,,
702632,1,2385,AutismInit,2836,995
313069,1,4822,Hftonline,2897,999
233699,1,11499,RCWestminster,13096,1344
274467,1,27440,actionaiduk,46051,6816
210760,1,18173,SSAFA,73362,3018
802559,1,6884,jewish_care,5301,1693
287785,1,16024,shawtrust,11663,5160
1123636,0,,,,
1072612,0,,,,
1079327,1,9821,changegrowlive,8747,6142
222879,1,39358,The_RHS,157944,5292
209617,1,18044,guidedogs,127361,754
235825,1,328,greatormondst,2443,381
263710,0,,,,
1124127,1,11215,Catch22,23692,1807
265249,0,,,,
265464,1,19677,tearfund,33352,3117
1016972,0,,,,
1000566,1,8428,SalvArmyIHQ,10330,1234
1105851,1,32268,christian_aid,84528,9015
279057,0,,,,
1097940,0,,,,
1020313,1,2727,ChildreninWales,7012,5429
219099,1,108182,RSPCA_official,251848,5627
224223,1,21191,NationalTheatre,441948,1457
519996,1,11514,ComIntCare,9620,1909
1068887,1,3304,cf_merseyside,3133,2125
1092047,1,6025,comactmk,4009,1083
1070790,1,10253,nottinghamcvs,4308,1572
1065175,0,,,,
800034,0,,,,
203373,0,,,,
1114667,1,1755,womeninneed,456,424
1093569,0,,,,
1103261,1,288,iahvUK,359,81
226413,1,,MencapSA,,
1057254,1,2003,ICOMOSUK,5752,402
1080067,0,,,,
1076670,0,,,,
1088975,1,7337,QueensHall,2873,581
1102216,0,,,,
246589,1,1849,bordehillgarden,3416,3783
1092515,1,1368,bustardgroup,2648,2056
1099439,0,,,,
1099923,1,8856,strike_a_light,3202,2376
256946,0,,,,
1073831,1,6002,timebank,12863,4800
1088469,0,,,,
1101367,0,,,,
274022,0,,,,
801819,1,908,pecan121a,623,431
1101387,0,,,,
1062644,1,547,FLVCFlintshire,493,376
1104275,0,,,,
1045399,1,1632,hughhughes,2292,1872
1123081,0,,,,
1103837,1,3051,accessspace,2765,1927
1127960,0,,,,
1030931,0,,,,
801409,0,,,,
524812,0,,,,
527636,0,,,,
800944,1,1870,ParrotTrust,5299,106
1014259,0,,,,
1015671,0,,,,
291578,1,,NTET_PR,,
802013,1,856,stmartinsnfk,1116,1147
1062032,1,1779,HFVC,1831,1798
1068926,1,3792,PlayWales,4893,2264
1086873,1,2113,ADVANCEcharity,1741,1360
289483,0,,,,
1107316,1,99,BeaconCamberley,167,55
304425,1,615,witneyscouts,714,961
283014,0,,,,
1108803,0,,,,
503482,0,,,,
1090205,0,,,,
295547,0,,,,
1069905,1,2755,romseymill,1984,1773
292530,0,,,,
297944,0,,,,
1112796,0,,,,
313394,0,,,,
290399,0,,,,
1115990,1,2671,braphumanrights,3184,1985
519883,1,925,YouthAssocUK,459,358
297146,0,,,,
1102451,1,674,workingwithmen1,1829,1331
287779,0,,,,
1011668,1,101,ageukbrent,1133,1904
1076204,1,222,@lambethlawcentr,465,202
1062858,0,,,,
1102658,0,,,,
1003947,0,,,,
272127,0,,,,
1023745,0,,,,
1127314,1,5252,TransplantSport,3392,2136
1028469,1,531,pahartrustnepal,1085,621
293677,0,,,,
261241,0,,,,
1119003,1,1422,CastleCavendish,489,447
1038021,1,2752,ForestHolme,1140,832
261397,0,,,,
1043572,0,,,,
1118346,0,,,,
233121,0,,,,
252744,0,,,,
1055818,1,2484,tandgicft,3925,154
1122011,0,,,,
1103575,0,,,,
1115114,0,,,,
1059467,0,,,,
1131868,1,37,AdeyfieldFree,13,4
1060982,0,,,,
1119323,0,,,,
1110343,0,,,,
1111600,0,,,,
294555,0,,,,
1103959,0,,,,
1067579,1,13704,changepeople_,10235,7442
1015200,0,,,,
1068572,0,,,,
263296,0,,,,
1070862,0,,,,
700910,1,3387,WolvesVSC,1286,877
1071514,0,,,,
1058706,1,7706,CarersLeeds,3906,1387
1063737,1,1183,CommAcIOW,559,196
1048679,1,13702,PHNT_NHS,10012,557
1079471,0,,,,
1044911,1,1049,@rush_house,1270,1753
1090394,0,,,,
300234,0,,,,
526444,0,,,,
303157,0,,,,
1086888,1,120,branches_wfc,132,181
307901,0,,,,
1091162,0,,,,
1006990,0,,,,
298643,0,,,,
1097503,1,11527,Official_OHG,4358,2614
1014056,0,,,,
1100345,0,,,,
1013945,0,,,,
1102267,1,7981,S_LawrenceTrust,12907,1626
289904,1,,i,,
1109626,1,,MindinTWS,,
287253,0,,,,
274755,0,,,,
1114403,1,1238,IVAR_UK,1379,960
1001463,1,5968,heritagelincs,3031,1524
1116707,0,,,,
291705,0,,,,
1117352,0,,,,
1121050,0,,,,
1015900,1,1538,AgeUKSomerset,1915,699
211759,0,,,,
223584,0,,,,
1040407,1,19451,yorkshiremesmac,5431,4361
1019964,0,,,,
290441,1,492,camdenlc,1592,1717
1053338,0,,,,
264520,0,,,,
1052813,1,2713,lhchft,3652,928
278584,0,,,,
213113,0,,,,
282931,1,1639,girlguidingbsg,1092,94
1047986,1,12283,QAHospitalNews,6134,3809
229049,0,,,,
279945,1,4374,FourCornersE2,3796,2014
1047923,0,,,,
266164,0,,,,
291061,0,,,,
1101906,1,37993,londonlegal,4611,772
291835,0,,,,
1040518,1,625,prtchampshire,201,366
259422,1,2523,RoyalMarinesMus,11971,636
267229,0,,,,
274803,1,10843,norwichartcentr,27032,1450
212744,1,6167,shropswildlife,11078,441
1049776,0,,,,
212667,0,,,,
299955,1,10609,DaiwaFoundation,4043,859
1097772,1,2134,pathDevon,1118,1066
218795,1,7534,BVSC,5409,2636
305370,0,,,,
1048699,0,,,,
312845,0,,,,
222212,1,10879,DerbysWildlife,13992,600
1061384,1,4938,RDEhospitals,6114,561
1059946,0,,,,
1059084,0,,,,
1109788,0,,,,
505608,0,,,,
223007,1,3246,@vasnews,2868,920
291143,0,,,,
803270,1,3482,LTL_Outdoors,5392,632
520655,0,,,,
293459,0,,,,
510170,0,,,,
518300,0,,,,
295260,0,,,,
298609,1,60,equalpeoplemenc,154,150
506820,0,,,,
507419,1,,pontypoolmuseum,,
299123,1,5630,AvMAuk,3287,1181
1036524,0,,,,
523831,0,,,,
1042233,0,,,,
306065,1,8543,yourmembership,2923,2330
508985,1,5805,TorchTheatre,4038,1541
1004561,0,,,,
1002463,0,,,,
512326,0,,,,
519405,1,157,rcan_news,217,200
1012177,0,,,,
1033035,0,,,,
325003,0,,,,
