,Has Twitter,Number of tweets in total,Twitter Handle,Twitter followers,Twitter following
220955,0,,,,
218401,0,,,,
297585,1,2781,crossnesset,1302,1161
239072,0,,,,
239406,0,,,,
297965,0,,,,
241942,1,12108,onecom,8385,1095
218627,0,,,,
218742,0,,,,
218951,1,10126,CTSpublishers,5189,586
298326,0,,,,
218992,1,5831,vistaleicester,2486,998
299524,1,2576,HertsMSTherapy,1061,1910
219031,0,,,,
242320,1,379,BristolSams,610,447
309914,0,,,,
242678,0,,,,
310257,1,266,bristolsteiner,308,194
311072,0,,,,
800757,0,,,,
312045,1,342,stchrisepsom,248,24
800222,0,,,,
243931,0,,,,
312528,1,11499,RCWestminster,13095,1344
256728,0,,,,
312872,0,,,,
219763,1,1432,SIMUKHQ,1163,533
219279,1,29186,PoppyLegion,234677,988
313503,1,9593,ujs_UK,7743,466
220239,1,8338,thenationalstar,5816,805
265985,0,,,,
245054,0,,,,
313952,1,7487,wcmtuk,6482,1176
246632,0,,,,
220331,0,,,,
247971,0,,,,
220509,1,,i,,
314286,1,97,bfsscharity,291,180
220592,0,,,,
221605,1,670,TheGideonsUK,366,253
248190,0,,,,
232541,0,,,,
326000,0,,,,
220956,0,,,,
326306,1,6075,WeAreSRUK,3154,950
231322,0,,,,
221319,0,,,,
327165,0,,,,
328366,0,,,,
529904,0,,,,
501564,1,7101,shrewsflowershw,8120,3054
503698,0,,,,
506553,0,,,,
225348,0,,,,
220949,1,27759,britishredcross,244052,3659
222655,1,4866,LSTMnews,9840,1194
221538,0,,,,
511166,0,,,,
249608,1,7519,pborocathedral,5320,469
250556,0,,,,
229394,1,1930,TheTowersSchool,563,330
223035,0,,,,
511387,1,66,lantrain,128,64
223066,1,2674,marywardcentre,1106,919
225485,0,,,,
226064,1,23459,FriendsElderly,27736,4038
251683,0,,,,
226545,1,3865,RoyalAstroSoc,28187,212
225838,1,62611,CR_UK,323463,2871
251835,0,,,,
514760,0,,,,
252083,0,,,,
226571,0,,,,
226748,1,7773,TheRCSLondon,6733,941
253231,0,,,,
226684,0,,,,
255230,1,328,grocerscompany,1143,104
516511,0,,,,
252271,0,,,,
517670,0,,,,
226686,1,12376,RAFAssociation,25543,1532
227033,1,5363,SouthEngShows,3727,2565
226745,0,,,,
519050,0,,,,
256689,0,,,,
529739,0,,,,
256931,0,,,,
525755,0,,,,
1001474,0,,,,
271500,0,,,,
258203,0,,,,
526052,1,6036,samlesburyhall,9916,5518
258321,0,,,,
508455,0,,,,
1039457,1,1489,thoughtfulpath,219,360
277409,0,,,,
527181,1,426,StWystans,180,202
227523,0,,,,
292862,0,,,,
326161,0,,,,
1013587,0,,,,
527473,0,,,,
327687,1,8,bethanysch,23,4
233499,0,,,,
1045819,0,,,,
1048805,1,895,lorendenschool,283,184
272784,0,,,,
527600,0,,,,
1051952,0,,,,
249635,1,6704,baptistuniongb,4029,346
284206,0,,,,
300501,0,,,,
1043470,1,6177,galapagossip,3859,1363
529380,0,,,,
1058559,0,,,,
1001782,0,,,,
1002278,1,1710,Godinton,904,233
258927,0,,,,
801957,0,,,,
1003934,1,1223,OsteopathicCC,2416,1472
259337,0,,,,
1038253,0,,,,
802017,0,,,,
260380,1,359,CafeLevel,234,67
233742,1,1725,BelsizeSqSyn,577,343
234184,0,,,,
802614,1,31,CrownandManor,54,29
1047219,0,,,,
227938,1,58225,JamieBGall,4738,1348
269264,0,,,,
803152,1,677,steephillonline,350,528
1054907,1,1866,redcliffeuk,2503,1556
1055866,0,,,,
900457,0,,,,
271160,1,1520,ChintSchool,1167,144
1003041,1,9077,wiltonmusichall,18032,3516
1056607,0,,,,
228089,0,,,,
1054738,1,1140,@BrownhillsCA,277,148
270923,1,2200,calvertlakes,1261,270
229476,1,14147,ippf,32300,1664
264724,0,,,,
235342,0,,,,
1002705,1,4549,racfoundation,5177,633
260495,0,,,,
230102,0,,,,
261139,0,,,,
261469,0,,,,
286347,1,1177,mhs_southsea,863,69
229642,0,,,,
1004086,1,2634,excathedrachoir,2578,690
1010563,0,,,,
262090,1,1566,LondonOrpheus,2935,1290
1061264,0,,,,
281440,0,,,,
262108,0,,,,
1004205,0,,,,
249349,0,,,,
1059125,0,,,,
262613,0,,,,
